X,Y,Z,X_r,Y_r,Z_r,G_x,G_y,G_z,G_t,dip,azimuth,polarity,formation,series,id,order_series,smooth,group,T,X_s,Y_s,Z_s
452565.3,6783979.5,-5582.091,0.393356126,0.603258271,0.532116579,-0.11402888,-0.020168591,0.9932727,0,6.649696098,259.9696806,1,BCU,unconformity,3,3,0.01,BCU,0,0.2865122529976212,0.41305306482434423,0.2185535793032495
453803.97,6783978.5,-5394.244,0.523411144,0.603153275,0.551839705,-0.159628,0.07317609,0.98446137,0,10.11365102,294.6274969,1,BCU,unconformity,3,3,0.01,BCU,0,0.546622288486164,0.41284307343399124,0.257999832006889
454309.84,6783979.0,-5324.286,0.576525317,0.603205773,0.559184994,-0.12314489,0.10823468,0.98646873,0,9.436215327,311.3129306,1,BCU,unconformity,3,3,0.01,BCU,0,0.6528506331240456,0.4129480691291677,0.27269040969320385
455961.53,6783979.5,-5164.224,0.749945656,0.603258271,0.575990815,-0.08620751,0.03570286,0.99563724,0,5.353974662,292.4969026,1,BCU,unconformity,3,3,0.01,BCU,0,0.9996913126561869,0.41305306482434423,0.30630205161588514
451304.1,6782096.5,-6379.891,0.260935556,0.405551376,0.448351013,-0.44060168,0.041036375,0.8967643,0,26.26404444,275.321014,1,etive,sediments,4,4,0.01,etive A,0,0.021671111484419466,0.01763927678965171,0.05102244807962902
451248.88,6782467.0,-6438.086,0.255137693,0.444452282,0.442240789,-0.44697174,0.09223565,0.8897802,0,27.1543601,281.659709,1,etive,sediments,4,4,0.01,etive A,0,0.010075386909132863,0.09544108691543693,0.03880199911803625
451402.38,6782630.0,-6377.634,0.271254533,0.46156658,0.448587988,-0.4658413,0.077674694,0.88145256,0,28.18191566,279.4664481,1,etive,sediments,4,4,0.01,etive A,0,0.04230906532831783,0.12966968354297537,0.05149639864765565
451962.47,6782643.0,-6079.9175,0.330061572,0.462931524,0.479846939,-0.2454243,0.24216837,0.93868065,0,20.16884374,314.6174096,1,etive,sediments,4,4,0.01,etive A,0,0.15992314315112083,0.13239957161756433,0.11401430041368364
451575.56,6782945.0,-6326.2354,0.289437687,0.494640224,0.45398462,-0.43453294,0.078571424,0.8972222,0,26.20469348,280.2493703,1,etive,sediments,4,4,0.01,etive A,0,0.07867537430964831,0.1958169715041693,0.06228966212385327
451315.3,6783487.0,-6452.1953,0.262111508,0.551547891,0.440759373,-0.41852573,0.015526923,0.90807223,0,24.75970725,272.1246468,1,etive,sediments,4,4,0.01,etive A,0,0.024023015056375472,0.30963230507549344,0.0358391675941287
